"playerId","shortName","currentTeamId","xA90_perc","aImpact90_perc"
77548,"J. Allen","1639",0.532307692307692,0.449152542372881
77552,"N. Dyer","10531",0.363076923076923,0.584745762711864
77558,"G. Sigur\u00f0sson","1623",0.726153846153846,0.504237288135593
92899,"J. Holebas","1644",0.347692307692308,0.48728813559322
105333,"Willian","1610",0.987692307692308,0.944915254237288
105338,"H. Mkhitaryan","1609",0.972307692307692,0.919491525423729
105339,"Fernandinho","1625",0.695384615384615,0.906779661016949
119951,"Ahmed Hegazy","1627",0.0369230769230769,0.0677966101694915
120353,"Mohamed Salah","1612",0.901538461538462,0.805084745762712
127537,"L. Milivojevi\u0107","1628",0.16,0.330508474576271
134102,"N. Ak\u00e9","1659",0.338461538461538,0.0847457627118644
134513,"A. Martial","1611",0.993846153846154,0.940677966101695
135103,"A. Christensen","1610",0.129230769230769,0.144067796610169
135114,"P. H\u00f8jbjerg","1619",0.276923076923077,0.415254237288136
136441,"B. Davies","1624",0.704615384615385,0.792372881355932
167145,"Beller\u00edn","1609",0.92,0.838983050847458
210044,"E. Dier","1624",0.584615384615385,0.61864406779661
215983,"S. Boufal","692",0.535384615384615,0.834745762711864
222220,"A. Robertson","1612",0.892307692307692,0.851694915254237
230020,"A. Iwobi","1609",0.738461538461539,0.961864406779661
230883,"Ayoze P\u00e9rez","1613",0.855384615384616,0.423728813559322
235555,"R. Loftus-Cheek","1610",0.664615384615385,0.771186440677966
245364,"L. San\u00e9","1625",0.996923076923077,0.898305084745763
246866,"A. Mawson","1616",0.0923076923076923,0.0550847457627119
247248,"S. March","1651",0.698461538461538,0.516949152542373
265366,"W. Ndidi","1631",0.141538461538462,0.220338983050847
265673,"Bernardo Silva","1625",0.938461538461538,0.932203389830508
268776,"W. Hoedt","1619",0.0276923076923077,0.152542372881356
283142,"D. Gray","1631",0.966153846153846,0.51271186440678
302518,"L. Cook","1659",0.307692307692308,0.610169491525424
339789,"Mikel Merino","687",0.135384615384615,0.588983050847458
340386,"Gabriel Jesus","1625",0.895384615384615,0.648305084745763
346101,"T. Alexander-Arnold","1612",0.883076923076923,0.855932203389831
353236,"T. Davies","1623",0.298461538461538,0.292372881355932
377071,"Richarlison","1623",0.809230769230769,0.338983050847458
397178,"M. Rashford","1611",0.876923076923077,0.597457627118644
